{'TIMESTAMP': '2024-04-15 07:02:12.700', 'LEVEL': 'warning', 'MODULE': 'PHONESTCORE', 'MESSAGE': 'PullDelayTime [microsecond]: 811002', 'CALLER': 'IOManager.cpp:172(pull)'}
{'TIMESTAMP': '2024-04-15 10:07:07.433', 'LEVEL': 'warning', 'MODULE': 'PHONESTCORE', 'MESSAGE': 'PullDelayTime [microsecond]: 1012600', 'CALLER': 'IOManager.cpp:172(pull)'}
{'TIMESTAMP': '2024-04-15 10:07:59.194', 'LEVEL': 'warning', 'MODULE': 'PHONESTCORE', 'MESSAGE': 'PullDelayTime [microsecond]: 276710', 'CALLER': 'IOManager.cpp:172(pull)'}
{'TIMESTAMP': '2024-04-15 10:07:59.784', 'LEVEL': 'warning', 'MODULE': 'PHONESTCORE', 'MESSAGE': 'PullDelayTime [microsecond]: 590339', 'CALLER': 'IOManager.cpp:172(pull)'}
{'TIMESTAMP': '2024-04-15 10:08:00.205', 'LEVEL': 'warning', 'MODULE': 'PHONESTCORE', 'MESSAGE': 'PullDelayTime [microsecond]: 420647', 'CALLER': 'IOManager.cpp:172(pull)'}
{'TIMESTAMP': '2024-04-15 10:08:00.998', 'LEVEL': 'warning', 'MODULE': 'PHONESTCORE', 'MESSAGE': 'PullDelayTime [microsecond]: 500211', 'CALLER': 'IOManager.cpp:172(pull)'}
{'TIMESTAMP': '2024-04-15 10:08:01.624', 'LEVEL': 'warning', 'MODULE': 'PHONESTCORE', 'MESSAGE': 'PullDelayTime [microsecond]: 625719', 'CALLER': 'IOManager.cpp:172(pull)'}
{'TIMESTAMP': '2024-04-15 10:08:03.157', 'LEVEL': 'warning', 'MODULE': 'PHONESTCORE', 'MESSAGE': 'PullDelayTime [microsecond]: 1354221', 'CALLER': 'IOManager.cpp:172(pull)'}
{'TIMESTAMP': '2024-04-15 10:08:03.439', 'LEVEL': 'warning', 'MODULE': 'PHONESTCORE', 'MESSAGE': 'PullDelayTime [microsecond]: 282106', 'CALLER': 'IOManager.cpp:172(pull)'}
{'TIMESTAMP': '2024-04-15 10:08:04.413', 'LEVEL': 'warning', 'MODULE': 'PHONESTCORE', 'MESSAGE': 'PullDelayTime [microsecond]: 861301', 'CALLER': 'IOManager.cpp:172(pull)'}
{'TIMESTAMP': '2024-04-15 10:08:08.016', 'LEVEL': 'warning', 'MODULE': 'PHONESTCORE', 'MESSAGE': 'PullDelayTime [microsecond]: 2389520', 'CALLER': 'IOManager.cpp:172(pull)'}
{'TIMESTAMP': '2024-04-15 10:08:08.432', 'LEVEL': 'warning', 'MODULE': 'PHONESTCORE', 'MESSAGE': 'PullDelayTime [microsecond]: 415964', 'CALLER': 'IOManager.cpp:172(pull)'}
{'TIMESTAMP': '2024-04-15 10:08:09.565', 'LEVEL': 'warning', 'MODULE': 'PHONESTCORE', 'MESSAGE': 'PullDelayTime [microsecond]: 953066', 'CALLER': 'IOManager.cpp:172(pull)'}
{'TIMESTAMP': '2024-04-15 10:08:09.963', 'LEVEL': 'warning', 'MODULE': 'PHONESTCORE', 'MESSAGE': 'PullDelayTime [microsecond]: 397492', 'CALLER': 'IOManager.cpp:172(pull)'}
{'TIMESTAMP': '2024-04-15 10:08:10.234', 'LEVEL': 'warning', 'MODULE': 'PHONESTCORE', 'MESSAGE': 'PullDelayTime [microsecond]: 271016', 'CALLER': 'IOManager.cpp:172(pull)'}
{'TIMESTAMP': '2024-04-15 10:08:11.067', 'LEVEL': 'warning', 'MODULE': 'PHONESTCORE', 'MESSAGE': 'PullDelayTime [microsecond]: 669384', 'CALLER': 'IOManager.cpp:172(pull)'}
{'TIMESTAMP': '2024-04-15 10:08:11.724', 'LEVEL': 'warning', 'MODULE': 'PHONESTCORE', 'MESSAGE': 'PullDelayTime [microsecond]: 656769', 'CALLER': 'IOManager.cpp:172(pull)'}
