{'TIMESTAMP': 'null', 'LEVEL': 'null', 'MODULE': 'null', 'MESSAGE': 'null', 'CALLER': 'null'}
{'TIMESTAMP': '2024-04-15 00:02:12.011', 'LEVEL': 'info', 'MODULE': 'QueueService:syncQueue', 'MESSAGE': 'cluster[0] 0-game0 syncQueue with onlineNum 0', 'CALLER': 'sync_queue.go:60'}
{'TIMESTAMP': '2024-04-15 00:02:12.159', 'LEVEL': 'warning', 'MODULE': 'MicroServiceChannel', 'MESSAGE': 'QueueService-syncQueue Excute elapsed 149.076208ms', 'CALLER': 'service_channel.go:147'}
{'TIMESTAMP': '2024-04-15 00:02:22.028', 'LEVEL': 'info', 'MODULE': 'QueueService:syncQueue', 'MESSAGE': 'cluster[0] 0-game0 syncQueue with onlineNum 0', 'CALLER': 'sync_queue.go:60'}
{'TIMESTAMP': '2024-04-15 00:02:32.076', 'LEVEL': 'info', 'MODULE': 'QueueService:syncQueue', 'MESSAGE': 'cluster[0] 0-game0 syncQueue with onlineNum 0', 'CALLER': 'sync_queue.go:60'}
{'TIMESTAMP': '2024-04-15 00:02:42.082', 'LEVEL': 'info', 'MODULE': 'QueueService:syncQueue', 'MESSAGE': 'cluster[0] 0-game0 syncQueue with onlineNum 0', 'CALLER': 'sync_queue.go:60'}
{'TIMESTAMP': '2024-04-15 00:02:52.099', 'LEVEL': 'info', 'MODULE': 'QueueService:syncQueue', 'MESSAGE': 'cluster[0] 0-game0 syncQueue with onlineNum 0', 'CALLER': 'sync_queue.go:60'}
{'TIMESTAMP': '2024-04-15 00:02:52.287', 'LEVEL': 'warning', 'MODULE': 'MicroServiceChannel', 'MESSAGE': 'QueueService-syncQueue Excute elapsed 187.80441ms', 'CALLER': 'service_channel.go:147'}
{'TIMESTAMP': '2024-04-15 00:03:02.143', 'LEVEL': 'info', 'MODULE': 'QueueService:syncQueue', 'MESSAGE': 'cluster[0] 0-game0 syncQueue with onlineNum 0', 'CALLER': 'sync_queue.go:60'}
{'TIMESTAMP': '2024-04-15 00:03:12.105', 'LEVEL': 'info', 'MODULE': 'QueueService:syncQueue', 'MESSAGE': 'cluster[0] 0-game0 syncQueue with onlineNum 0', 'CALLER': 'sync_queue.go:60'}
{'TIMESTAMP': '2024-04-15 00:03:22.158', 'LEVEL': 'info', 'MODULE': 'QueueService:syncQueue', 'MESSAGE': 'cluster[0] 0-game0 syncQueue with onlineNum 0', 'CALLER': 'sync_queue.go:60'}
{'TIMESTAMP': '2024-04-15 00:03:32.156', 'LEVEL': 'info', 'MODULE': 'QueueService:syncQueue', 'MESSAGE': 'cluster[0] 0-game0 syncQueue with onlineNum 0', 'CALLER': 'sync_queue.go:60'}
{'TIMESTAMP': '2024-04-15 00:03:42.167', 'LEVEL': 'info', 'MODULE': 'QueueService:syncQueue', 'MESSAGE': 'cluster[0] 0-game0 syncQueue with onlineNum 0', 'CALLER': 'sync_queue.go:60'}
{'TIMESTAMP': '2024-04-15 00:03:52.188', 'LEVEL': 'info', 'MODULE': 'QueueService:syncQueue', 'MESSAGE': 'cluster[0] 0-game0 syncQueue with onlineNum 0', 'CALLER': 'sync_queue.go:60'}
{'TIMESTAMP': '2024-04-15 00:04:02.231', 'LEVEL': 'info', 'MODULE': 'QueueService:syncQueue', 'MESSAGE': 'cluster[0] 0-game0 syncQueue with onlineNum 0', 'CALLER': 'sync_queue.go:60'}
{'TIMESTAMP': '2024-04-15 00:04:02.450', 'LEVEL': 'warning', 'MODULE': 'MicroServiceChannel', 'MESSAGE': 'QueueService-syncQueue Excute elapsed 219.370973ms', 'CALLER': 'service_channel.go:147'}
{'TIMESTAMP': '2024-04-15 00:04:12.225', 'LEVEL': 'info', 'MODULE': 'QueueService:syncQueue', 'MESSAGE': 'cluster[0] 0-game0 syncQueue with onlineNum 0', 'CALLER': 'sync_queue.go:60'}
{'TIMESTAMP': '2024-04-15 00:04:22.256', 'LEVEL': 'info', 'MODULE': 'QueueService:syncQueue', 'MESSAGE': 'cluster[0] 0-game0 syncQueue with onlineNum 0', 'CALLER': 'sync_queue.go:60'}
{'TIMESTAMP': '2024-04-15 00:04:32.268', 'LEVEL': 'info', 'MODULE': 'QueueService:syncQueue', 'MESSAGE': 'cluster[0] 0-game0 syncQueue with onlineNum 0', 'CALLER': 'sync_queue.go:60'}
{'TIMESTAMP': '2024-04-15 00:04:42.284', 'LEVEL': 'info', 'MODULE': 'QueueService:syncQueue', 'MESSAGE': 'cluster[0] 0-game0 syncQueue with onlineNum 0', 'CALLER': 'sync_queue.go:60'}
{'TIMESTAMP': '2024-04-15 00:04:52.304', 'LEVEL': 'info', 'MODULE': 'QueueService:syncQueue', 'MESSAGE': 'cluster[0] 0-game0 syncQueue with onlineNum 0', 'CALLER': 'sync_queue.go:60'}
{'TIMESTAMP': '2024-04-15 00:05:02.328', 'LEVEL': 'info', 'MODULE': 'QueueService:syncQueue', 'MESSAGE': 'cluster[0] 0-game0 syncQueue with onlineNum 0', 'CALLER': 'sync_queue.go:60'}
{'TIMESTAMP': '2024-04-15 00:05:12.341', 'LEVEL': 'info', 'MODULE': 'QueueService:syncQueue', 'MESSAGE': 'cluster[0] 0-game0 syncQueue with onlineNum 0', 'CALLER': 'sync_queue.go:60'}
{'TIMESTAMP': '2024-04-15 00:05:22.360', 'LEVEL': 'info', 'MODULE': 'QueueService:syncQueue', 'MESSAGE': 'cluster[0] 0-game0 syncQueue with onlineNum 0', 'CALLER': 'sync_queue.go:60'}
{'TIMESTAMP': '2024-04-15 00:05:32.384', 'LEVEL': 'info', 'MODULE': 'QueueService:syncQueue', 'MESSAGE': 'cluster[0] 0-game0 syncQueue with onlineNum 0', 'CALLER': 'sync_queue.go:60'}
{'TIMESTAMP': '2024-04-15 00:05:42.404', 'LEVEL': 'info', 'MODULE': 'QueueService:syncQueue', 'MESSAGE': 'cluster[0] 0-game0 syncQueue with onlineNum 0', 'CALLER': 'sync_queue.go:60'}
{'TIMESTAMP': '2024-04-15 00:05:52.432', 'LEVEL': 'info', 'MODULE': 'QueueService:syncQueue', 'MESSAGE': 'cluster[0] 0-game0 syncQueue with onlineNum 0', 'CALLER': 'sync_queue.go:60'}
