{'TIMESTAMP': 'null', 'LEVEL': 'null', 'MODULE': 'null', 'MESSAGE': 'null', 'CALLER': 'null'}
{'TIMESTAMP': '2024-04-15 09:49:08.977', 'LEVEL': 'warning', 'MODULE': 'Game2GateServiceChannel', 'MESSAGE': 'Heartbeat ack  elapsed 10s', 'CALLER': 'Game2GateServiceChannel.go:226'}
{'TIMESTAMP': '2024-04-15 09:49:18.959', 'LEVEL': 'warning', 'MODULE': 'Game2GateServiceChannel', 'MESSAGE': 'Heartbeat ack  elapsed 10s', 'CALLER': 'Game2GateServiceChannel.go:226'}
{'TIMESTAMP': '2024-04-15 10:08:11.343', 'LEVEL': 'warning', 'MODULE': 'Game2GateServiceChannel', 'MESSAGE': 'Heartbeat ack 0-game0 elapsed 1.108524061s', 'CALLER': 'Game2GateServiceChannel.go:226'}
{'TIMESTAMP': '2024-04-15 10:10:54.630', 'LEVEL': 'warning', 'MODULE': 'Game2GateServiceChannel', 'MESSAGE': 'Heartbeat ack  elapsed 3.65805738s', 'CALLER': 'Game2GateServiceChannel.go:226'}
{'TIMESTAMP': '2024-04-15 10:11:01.449', 'LEVEL': 'warning', 'MODULE': 'Game2GateServiceChannel', 'MESSAGE': 'Heartbeat ack  elapsed 10s', 'CALLER': 'Game2GateServiceChannel.go:226'}
{'TIMESTAMP': '2024-04-15 10:11:01.449', 'LEVEL': 'warning', 'MODULE': 'Game2GateServiceChannel', 'MESSAGE': 'Heartbeat ack  elapsed 11.171016419s', 'CALLER': 'Game2GateServiceChannel.go:226'}
{'TIMESTAMP': '2024-04-15 10:11:06.093', 'LEVEL': 'warning', 'MODULE': 'Game2GateServiceChannel', 'MESSAGE': 'Heartbeat ack  elapsed 4.644114902s', 'CALLER': 'Game2GateServiceChannel.go:226'}
{'TIMESTAMP': '2024-04-15 10:11:01.449', 'LEVEL': 'warning', 'MODULE': 'Game2GateServiceChannel', 'MESSAGE': 'Heartbeat ack 100-game0 elapsed 10s', 'CALLER': 'Game2GateServiceChannel.go:226'}
{'TIMESTAMP': '2024-04-15 10:11:18.414', 'LEVEL': 'warning', 'MODULE': 'Game2GateServiceChannel', 'MESSAGE': 'Heartbeat ack 100-game0 elapsed 10s', 'CALLER': 'Game2GateServiceChannel.go:226'}
{'TIMESTAMP': '2024-04-15 10:11:04.663', 'LEVEL': 'warning', 'MODULE': 'Game2GateServiceChannel', 'MESSAGE': 'Heartbeat ack  elapsed 14.38531637s', 'CALLER': 'Game2GateServiceChannel.go:226'}
{'TIMESTAMP': '2024-04-15 10:11:19.967', 'LEVEL': 'warning', 'MODULE': 'Game2GateServiceChannel', 'MESSAGE': 'Heartbeat ack  elapsed 18.517725742s', 'CALLER': 'Game2GateServiceChannel.go:226'}
{'TIMESTAMP': '2024-04-15 10:11:04.663', 'LEVEL': 'warning', 'MODULE': 'Game2GateServiceChannel', 'MESSAGE': 'Heartbeat ack  elapsed 3.214135993s', 'CALLER': 'Game2GateServiceChannel.go:226'}
{'TIMESTAMP': '2024-04-15 10:11:20.505', 'LEVEL': 'warning', 'MODULE': 'Game2GateServiceChannel', 'MESSAGE': 'Heartbeat ack  elapsed 9.909413361s', 'CALLER': 'Game2GateServiceChannel.go:226'}
{'TIMESTAMP': '2024-04-15 10:11:04.663', 'LEVEL': 'warning', 'MODULE': 'Game2GateServiceChannel', 'MESSAGE': 'Heartbeat ack  elapsed 3.213944119s', 'CALLER': 'Game2GateServiceChannel.go:226'}
{'TIMESTAMP': '2024-04-15 10:11:20.845', 'LEVEL': 'warning', 'MODULE': 'Game2GateServiceChannel', 'MESSAGE': 'Heartbeat ack  elapsed 13.428198627s', 'CALLER': 'Game2GateServiceChannel.go:226'}
{'TIMESTAMP': '2024-04-15 10:11:04.663', 'LEVEL': 'warning', 'MODULE': 'Game2GateServiceChannel', 'MESSAGE': 'Heartbeat ack  elapsed 3.214157991s', 'CALLER': 'Game2GateServiceChannel.go:226'}
{'TIMESTAMP': '2024-04-15 10:11:21.027', 'LEVEL': 'warning', 'MODULE': 'Game2GateServiceChannel', 'MESSAGE': 'Heartbeat ack  elapsed 14.345252178s', 'CALLER': 'Game2GateServiceChannel.go:226'}
{'TIMESTAMP': '2024-04-15 10:11:04.663', 'LEVEL': 'warning', 'MODULE': 'Game2GateServiceChannel', 'MESSAGE': 'Heartbeat ack  elapsed 3.214170651s', 'CALLER': 'Game2GateServiceChannel.go:226'}
{'TIMESTAMP': '2024-04-15 10:11:21.457', 'LEVEL': 'warning', 'MODULE': 'Game2GateServiceChannel', 'MESSAGE': 'Heartbeat ack  elapsed 14.040492104s', 'CALLER': 'Game2GateServiceChannel.go:226'}
{'TIMESTAMP': '2024-04-15 10:11:06.013', 'LEVEL': 'warning', 'MODULE': 'Game2GateServiceChannel', 'MESSAGE': 'Heartbeat ack 100-game0 elapsed 15.735250065s', 'CALLER': 'Game2GateServiceChannel.go:226'}
