{'TIMESTAMP': '2024-12-12 10:05:41', 'LEVEL': 'info', 'MODULE': 'MsProxy', 'MESSAGE': ' \tconnect to msGate 10.8.45.77:26000\t', 'CALLER': '[connectCb]     Core/Client/MsProxy:70'}
{'TIMESTAMP': '2024-12-12 10:05:41', 'LEVEL': 'info', 'MODULE': 'MsNetworkEventCallback', 'MESSAGE': ' \tMsNetworkEventCallback:onConnect: Connected\t', 'CALLER': '[connectCb]     Entities/MsNetworkEventCallback:51'}
{'TIMESTAMP': '2024-12-12 10:05:41', 'LEVEL': 'info', 'MODULE': 'CommonRepo', 'MESSAGE': ' \t-------------- connect MS success:ver001 ---------\t', 'CALLER': '[readyCb]     Utils/ClientUtils:665'}
{'TIMESTAMP': '2024-12-12 10:05:41', 'LEVEL': 'info', 'MODULE': 'LoginAgent', 'MESSAGE': ' \tlogin add configed server: ClusterId=8043077, ClusterName=LOCAL\t', 'CALLER': '[getServerInfos]     Entities/LoginAgent:233'}
{'TIMESTAMP': '2024-12-12 10:06:29', 'LEVEL': 'info', 'MODULE': 'CommonRepo', 'MESSAGE': ' \t-------------- start login username:lgz1111-22-8043077, serverIndex: 8043077 ---------\t', 'CALLER': '[login]     Network/Client:138'}
{'TIMESTAMP': '2024-12-12 10:06:40', 'LEVEL': 'info', 'MODULE': 'NetHandler', 'MESSAGE': ' \tbindSoul connect gate 10.8.43.77:23000\t', 'CALLER': '1'}
{'TIMESTAMP': '2024-12-12 10:06:40', 'LEVEL': 'info', 'MODULE': 'ClientSession', 'MESSAGE': ' \tClass ClientSession : 0x4cc2a560 connect to 10.8.43.77 23000\t', 'CALLER': '[connect]     Core/Net/ClientSession:69'}
{'TIMESTAMP': '2024-12-12 10:06:40', 'LEVEL': 'info', 'MODULE': '2024-12-12 10:06:40.705169', 'MESSAGE': ' \t\t\t\t', 'CALLER': 'info'}
{'TIMESTAMP': '2024-12-12 10:06:40', 'LEVEL': 'info', 'MODULE': '2024-12-12 10:06:40.705671', 'MESSAGE': ' \t\t\t\t', 'CALLER': 'info'}
{'TIMESTAMP': '2024-12-12 10:06:40', 'LEVEL': 'info', 'MODULE': '2024-12-12 10:06:40.705864', 'MESSAGE': ' \t\t\t\t', 'CALLER': 'info'}
{'TIMESTAMP': '2024-12-12 10:06:40', 'LEVEL': 'info', 'MODULE': 'ClientMainPlayer', 'MESSAGE': ' \tClientMainPlayer ctor\t', 'CALLER': '[overrideFunc]     Entities/SpaceEntities/ClientMainPlayer:127'}
{'TIMESTAMP': '2024-12-12 10:06:40', 'LEVEL': 'info', 'MODULE': 'ClientMainPlayer', 'MESSAGE': ' \tClientChatComponent ctor\t', 'CALLER': '[v]     Entities/SpaceEntities/PlayerComponent/ClientChatComponent:14'}
{'TIMESTAMP': '2024-12-12 10:06:40', 'LEVEL': 'info', 'MODULE': 'ClientMainPlayer', 'MESSAGE': ' \tClientMailComponent ctor\t', 'CALLER': '[v]     Entities/SpaceEntities/PlayerComponent/ClientMailComponent:15'}
{'TIMESTAMP': '2024-12-12 10:06:40', 'LEVEL': 'info', 'MODULE': 'ClientMainPlayer', 'MESSAGE': ' \tClientFriendComponent ctor\t', 'CALLER': '[v]     ...ties/SpaceEntities/PlayerComponent/ClientFriendComponent:17'}
{'TIMESTAMP': '2024-12-12 10:06:40', 'LEVEL': 'info', 'MODULE': 'ClientMainPlayer', 'MESSAGE': ' \tClientMatchComponent ctor\t', 'CALLER': '[v]     Entities/SpaceEntities/PlayerComponent/ClientMatchComponent:17'}
